address,company_logo,company_name,company_url,email_address,key_clients,lawyers,phone_number,practice_heads,website
Bougartchev Moyne Associés    4 PLACE SAINT THOMAS D’AQUIN        75007 PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/18256.jpg?v=1580315490, Bougartchev Moyne Associés ,,kbougartchev@bougartchev-moyne.com,,, 33 1 42 84 87 77,Kiril Bougartchev;Emmanuel Moyne;Kiril Bougartchev;Emmanuel Moyne;Kiril Bougartchev;Emmanuel Moyne,http://www.bougartchev-moyne.com
Borrel Avocats    70 BIS RUE DE L'UNIVERSITE        75007 PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/17866.jpg?v=1580315487, Borrel Avocats ,,contact@cabinetborrel.com,, Laurence Borrel-Prat, 33 1 53 63 47 60,Laurence Borrel-Prat,https://www.cabinetborrel.com
BL &amp; Associés    15 RUE DE VÉZELAY        75008 PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/14874.jpg?v=1580315467, BL & Associés ,,cabinet@bl-avocats.com,,, 33 1 53 30 72 72,,http://www.bl-avocats.com
Bochamp    57 AVENUE FRANKLIN D. ROOSEVELT        75008 PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/17536.jpg?v=1580315485, Bochamp ,,contact@bochamp.com,, SIMON AZAN ;Mr Nicolas Demard;Mr François Gery; Yasong Lin; JÉRÔME PITON ; Corentine TOURRES , 33 1 75 77 31 80,,http://www.bochamp.com
Bichot &amp; Associés    2 AVENUE HOCHE        75008 PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/15004.jpg?v=1580315469, Bichot & Associés ,,contact@bichot-associes.com,Generali;Société Générale;Bpifrance;Vattenfall;Caisse des dépôts et consignations;Nethys;Cristal Union;VMC;MKE;Investissements;Financière SAF;Aristote;Investments;MBO Partenaires;Gimv;Séance Publique;Amélie Maison;d’Huîtres;Eudonet,, 33 1 80 05 98 00,Nicolas Bichot,https://www.bichot-associes.com
BG2V    40/42 RUE LA BOÉTIE        75008 PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/16874.jpg?v=1580315479, BG2V ,,contact@bg2v.com,ALTRAN TECHNOLOGIES;NESTLE FRANCE AND ITS SUBSIDIARIES;NESTLE WATERS;CRIT;ALTRAN;DROUOT;FABERNOVEL;DRT;IMMO DE FRANCE;ADVENT INTERNATIONAL;FREUDENBERG FILTRATION TECHNOLOGIES;GROUPE PAS A PAS – KPF;NOLAROADS;EXPERIENCED CAPITAL;TEADS;AEW;AXA;BABILOU;BOUYGUES IMMOBILIER;BPIFRANCE;CAISSE DES DEPOTS ET CONSIGNATIONS;COLLIERS;CONSTRUCTA;PREDICA;DEUTSCHE BANK;ELECTROLUX;EXANE;GDG INVESTISSEMENTS;GROUPE DUVAL;ICADE;ICAM School;IMMOVALOR GESTION;JLL (JONES LANG LASALLE);KEYS REIM;LOGICOR;MOUNTPARK PROPERTIES;MUREX;SCAPRIM;SCHRODERS;SCIENCES PO;TH REAL ESTATE;VAILOG;VIRTUO;WEINBERG CAPITAL PARTNERS;METROPOLE TELEVISION (M6);CAISSE DES DEPOTS ET CONSIGNATIONS;MOVE PUBLISHING;PLEIADE INVESTMENT;RGREEN;NEWFUND;INNOVAFONDS;SIPAREX;GENERALE DU SOLAIRE;NEXTSTAGE SCA;GROUPE FAYAT;DROUOT;KPH;SOPIC;GENETEC;GROUPE FAUBOURG;PHYSITEK DEVICES;EASIWARE;ELEPHANT AT WORK;CA C’EST PARIS;POTAGER CITY;Vente-Unique.com;Aéroplast Industries;Serveurcom;CAFOM SA;Groupe Sartorius;La Cabane des Bambins;Groupe Divalto;ACADEMAIL;Colliers International;Dunlop Goodyear;Finimmo Invest;Groupe Scaff;Sepimo;Sopic;Wesharebonds,Mr Karim BEYLOUNI , 33 1 48 88 60 60,"Karim Beylouni;Julien Vernet;Xavier Carbassel Roland Gueny,  Julien Vernet;Camille de Verdelhan;Guillaume de Saint Sernin;Quentin Leroux;Hervé de Kervasdoué;Roland Guén;Stanislas Richoillez;Camille de Verdelhan;Jérôme Albertin;Jean-Marc Valot;Jean-Sébastien Dumont",http://www.bg2v.com
Bersay    31 AVENUE HOCHE        75008 PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/10784.jpg?v=1585146149, Bersay ,,contact@bersay-associes.com,ENR’CERT;Ct Corse;Syndicat mixte Gers Numérique;SASU Arteria;CDC Habitat;EPARI;Eurometropole de Strasbourg;Pyrenees-Atlantiques SMO;Syndicat intercommunal de l’energie et de l’e-communication de l’Ain;Sarthe Numérique SMO;CT CORSE;SYNDICAT MIXTE GERS NUMERIQUE;SASU ARTERIA;EPARI;EUROMETROPOLE DE STRASBOURG;PYRENEES-ATLANTIQUES SMO;SYNDICAT INTERCOMMUNAL DE L’ENERGIE ET;DE L’E-COMMUNICATION DE L’AIN;SARTHE NUMERIQUE SMO;PMU;CDC Habitat;ENR’CERT;Promeco;LinkByNet;Acasta;Oddo BHF;Fresh Food Village;Lito Ventures;FIFA;Drake Star;MBD Technologies;Buffalo Grill;Worlds Apart;Edmond de Rothschild;Bureau Veritas;LinkByNet;Lito Ventures (Beaux Arts & Cie);Martek;Mobilitex;NV Gallery;Transatel;Adveo France;Europlasma SA;Little extra;Vigilia Sécurité Privée;Martek SA;Linkbynet;Bureau Veritas;NV Gallery;Mobilitex;Lito Ventures (Beaux Arts & Cie);Transatel,, 33 1 56 88 30 00,Martin Tissier;Claire Poirson;Stéphanie Benmoussa-Molkhou;Martin Tissier ;Jérôme Bersay;Frédéric Flatrès;Mathilde Cousteau;Nathalie Cerqueira;Anne-Lise Puget;Claire Poirson;Martin Tissier;Stéphanie Benmoussa-Molkhou;Dimitri-André Sonier;Alain Jouan,http://www.bersay-associes.com
BDGS Associés    51 RUE FRANCOIS 1ER        75008 PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/16693.jpg?v=1580315478, BDGS Associés ,,contact@bdgs-associes.com,Carrefour;SNCF;La Poste;La Banque Postale;BPCE;Crédit Mutuel;Société Générale;Crédit Agricole;BNP Paribas;Thales;Safran;Predica;Transdev;CMA CGM;OpenGate Capital;Bpifrance;Ceva Santé Animale;Groupe Canal+;ENGIE;Cybergun;Bouygues Telecom;Bpifrance;Carrefour;Crédit Agricole Assurances;EDF;Groupe La Poste;Groupama;Safran;SNCF;Transdev;Opengate Capital;Tikehau Capital;Butler Industries;Mac Arthur Glen;LFPI;Sagax;Boardriders;Crédit Agricole Assurances (Predica);Groupama;SNCF;La Banque Postale;EDF;Bouygues Telecom,Mr François Baylion ;Mr Antoine Bonnasse ;Ms Mathilde Damon ;Mr Youssef Djehane ; Jérôme Fabre; Lucile Gaillard ;Mr Antoine Gosset-Grainville ;Mr Guillaume Jolly ; Kyum Lee;Mr Marc Loy ;Mr Thomas Meli ; Jean-Emmanuel Skovron ; Maria Trabucchi , 33 1 42 99 22 22,Antoine Gosset-Grainville;Maria Trabucchi;Kyum Lee;Antoine Bonnasse;Youssef Djehane;Jean-Emmanuel Skovron;Marc Loy;Guillaume Jolly,http://www.bdgs-associes.com
"Bardehle Pagenberg    AVOCATS AU BARREAU DE PARIS    SO SQUARE OPÉRA, 5 RUE BOUDREAU    75009 PARIS                France",https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/11431.jpg?v=1580315452, Bardehle Pagenberg ,,info@bardehle.fr,BMW;H&M;Diesel;Pandora;Red.com;Van’s;Yum! Brands;Lactalis Group;Ferring Pharmaceuticals;easyGroup Ltd;Free/Free Mobile/Iliad;Parrot,Ms Rebecca Delorey ; Julien Fréneaux, 33 1 53 05 15 00,Rebecca Delorey;Julien Fréneaux,https://www.bardehle.com
Baro Alto    4 PLACE DE L'OPERA                    75002    France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/17447.jpg?v=1580315485, Baro Alto ,,aal@baroalto.com,,Me GERALDINE BRASIER PORTERIE ;Me Pierrick JUPILE-BOISVERD ;Me Caroline Joly , +33 (0)1 44 69 89 40,Géraldine Brasier-Porterie;Caroline Joly;Pierrick Jupile-Boisverd;Caroline Joly,http://www.baroalto.com
