company_name,url,city
Abello,https://www.legal500.com/firms/17741-abello/23693-paris-france/,Paris
Aceris Law,https://www.legal500.com/firms/18555-aceris-law/25210-paris-france/,Paris
Actance,https://www.legal500.com/firms/16958-actance/22039-paris-france/,Paris
Alerion,https://www.legal500.com/firms/14944-alerion/20144-paris-france/,Paris
Aliénor Avocats,https://www.legal500.com/firms/231065-alienor-avocats/230978-paris-france/,Paris
ALLIUM Société d’avocats,https://www.legal500.com/firms/234743-allium-societe-davocats/234290-paris-france/,Paris
Almain,https://www.legal500.com/firms/17986-almain/24057-paris-france/,Paris
Altana,https://www.legal500.com/firms/14647-altana/19284-paris-france/,Paris
Aramis,https://www.legal500.com/firms/14789-aramis/19499-paris-france/,Paris
Archers A.A.R.P.I.,https://www.legal500.com/firms/14506-archers-aarpi/18958-paris-france/,Paris
Arendt & Medernach,https://www.legal500.com/firms/10023-arendt-medernach/24643-paris-france/,Paris
Arsene,https://www.legal500.com/firms/11193-arsene/11963-paris-france/,Paris
Asafo & Co.,https://www.legal500.com/firms/233784-asafo-co/233527-paris-france/,Paris
August Debouzy,https://www.legal500.com/firms/13777-august-debouzy/14605-paris-france/,Paris
Avanty Avocats,https://www.legal500.com/firms/232117-avanty-avocats/231980-paris-france/,PARIS
AyacheSalama,https://www.legal500.com/firms/13597-ayachesalama/14378-paris-france/,Paris
Baker McKenzie,https://www.legal500.com/firms/50079-baker-mckenzie/10921-paris-france/,Paris
Barbier Legal,https://www.legal500.com/firms/17870-barbier-legal/23888-paris-france/,Paris
Bardehle Pagenberg,https://www.legal500.com/firms/11431-bardehle-pagenberg/11448-paris-france/,Paris
Baro Alto,https://www.legal500.com/firms/17447-baro-alto/23274-paris-france/,PARIS
BCTG Avocats,https://www.legal500.com/firms/11668-bctg-avocats/12619-paris-france/,Paris
BDGS Associés,https://www.legal500.com/firms/16693-bdgs-associes/21531-paris-france/,Paris
Benoliel Avocats,https://www.legal500.com/firms/17029-benoliel-avocats/22697-paris-france/,Paris
Bersay,https://www.legal500.com/firms/10784-bersay/11214-paris-france/,Paris
Betto Perben Pradel Filhol,https://www.legal500.com/firms/16529-betto-perben-pradel-filhol/21041-paris-france/,Paris
BG2V,https://www.legal500.com/firms/16874-bg2v/21898-paris-france/,Paris
Bichot & Associés,https://www.legal500.com/firms/15004-bichot-associes/20248-paris-france/,Paris
BL & Associés,https://www.legal500.com/firms/14874-bl-associes/20058-paris-france/,Paris
